ticker	name	region	layer	chokepoint_score	chokepoint_tier	score	verdict	price	ccy	ytd_pct	fwd_pe	target	upside_pct	capex_side	risk_level	catalyst	one_liner
MTSI US	MACOM Technology	US	Guidance, Seekers & RF	19	Duopoly Chokepoint	70	HOLD	256.1	USD	49.5	42.9	399.43	56.0	receives	Medium	Defence RF content growth alongside the AI optics cycle.	Rare combination: +50% YTD and still a +56% consensus gap. Also the overlap name with the AI Photonics book — check you are not doubling the position.
KRMN US	Karman Holdings	US	Actuation, Power & Precision	19	Duopoly Chokepoint	69	HOLD	50.44	USD	-31.1	76.0	102	102.2	receives	High	Hypersonics & Strategic Missile Defense grew 18.7% YoY in Q1 2026; FY26 guidance raised to $720-735m.	The purest listed missile-component bottleneck play, -31% YTD with a +102% consensus gap — but still 76x. A sleeve, not a core.
3402 JP	Toray Industries	JP	Cases, Ablatives & Nozzles	19	Duopoly Chokepoint	68	HOLD	1139	JPY	11.7	18.5	1306.36	14.7	receives	Medium	Aerospace/defence composite demand; ex-China qualified supply.	Cheapest way into the carbon-fibre duopoly at 18.5x vs Hexcel's 38.7x. Defence is a small slice of a large conglomerate — verify segment split before sizing.
4063 JP	Shin-Etsu Chemical	JP	Magnets & Critical Minerals	19	Duopoly Chokepoint	68	HOLD	5901	JPY	21.1	18.8	7992.5	35.4	receives	Low	2027 DoD magnet-origin mandate favours qualified ex-China producers.	18.8x with +35% upside and a fortress balance sheet — but the magnet business is a rounding error against PVC and silicon wafers. Indirect exposure.
CRS US	Carpenter Technology	US	Structural Metals & Forgings	19	Duopoly Chokepoint	67	HOLD	543.49	USD	72.6	40.7	633.89	16.6	receives	Medium	Qualified-alloy capacity tightness.	Best-in-class specialty alloy franchise, +73% YTD. Quality is not in question; the multiple is.
HXL US	Hexcel	US	Cases, Ablatives & Nozzles	19	Duopoly Chokepoint	65	HOLD	102.28	USD	38.4	38.7	111.08	8.6	receives	Medium	Commercial aero recovery plus defence composite demand.	+38% YTD and 9% to target. Qualification moat is genuine; the entry point is not.
ATI US	ATI Inc	US	Structural Metals & Forgings	19	Duopoly Chokepoint	65	HOLD	193.12	USD	68.3	41.6	206.56	7.0	receives	Medium	A&D demand lifted 2026 guidance.	+68% YTD at 41.6x with 7% to target. The trade worked; adding here is paying for it twice.
USAR US	USA Rare Earth	US	Magnets & Critical Minerals	19	Duopoly Chokepoint	56	SPEC	15.86	USD	33.3		37.14	134.2	spends	High	2027 magnet-origin mandate; $7.6bn of US government RE investment since 2025.	Unanimous 5.00 rec and +134% to target because there are no earnings to anchor on. Pure option on execution.
012450 KS	Hanwha Aerospace	KR	Energetic Chemicals	18	Duopoly Chokepoint	78	BUY	986000	KRW	3.6	17.2	1688333	71.2	both	Medium	~$1.3bn Pine Bluff Arsenal plant + ~$1bn US modular-charge facility (NC, NG, NQ, triple-base propellant), construction from 2026, full production 2030.	Still the best risk/reward in the book — 17.2x, +71% consensus gap, unanimous Buy. But it rallied ~9% on 4 Aug and is now UP 3.6% YTD: the 'down on the year' leg of the original pitch is gone, the valuation leg is not. No specific catalyst for the move was identified in available sources.
5631 JP	Japan Steel Works	JP	Structural Metals & Forgings	18	Duopoly Chokepoint	73	BUY	7495	JPY	-2.4		11570	54.4	receives	Medium	Japanese defence build-out; forging capacity scarcity.	Down on the year with a +54% consensus gap and 4.71 rec. The forging bottleneck at a price the US forging names stopped offering in January.
LMT US	Lockheed Martin	US	Integration / Primes	18	Duopoly Chokepoint	69	HOLD	586.29	USD	21.2	18.7	639.29	9.0	spends	Medium	THAAD capacity quadrupling (Jan 2026 framework); PrSM to 550/yr; PAC-3 MSE tripled; >$9bn facility programme.	The headline trade and the worst expression of it. +21% YTD, 9% to target, and the announcements are money leaving the building. Own the suppliers, not the spender.
R3NK GY	Renk Group	EU	Actuation, Power & Precision	18	Duopoly Chokepoint	68	HOLD	49.02	EUR	-8.6	23.9	64.73	32.0	receives	High	European land systems ramp.	Down 9% at 23.9x with a 4.78 rec and +32% gap. The most interesting European component name, and fully exposed to peace-deal headlines.
CW US	Curtiss-Wright	US	Actuation, Power & Precision	18	Duopoly Chokepoint	67	HOLD	747.67	USD	35.6	47.9	822.17	10.0	receives	Low	Submarine and munitions content.	High-quality compounder at 47.9x. Own it for the franchise, not for this theme.
RTX US	RTX	US	Integration / Primes	18	Duopoly Chokepoint	67	HOLD	216.65	USD	18.1	29.4	234	8.0	spends	Medium	Interceptor replenishment demand.	29.2x for 8.7% upside. Quality prime, no edge at this price.
MOG/A US	Moog	US	Actuation, Power & Precision	18	Duopoly Chokepoint	66	HOLD	395.88	USD	62.5	34.8	448	13.2	receives	Medium	Missile actuation content growth.	+63% YTD. Excellent qualification moat, fully discovered.
HWM US	Howmet Aerospace	US	Structural Metals & Forgings	18	Duopoly Chokepoint	65	HOLD	286.34	USD	39.7	54.3	313.52	9.5	receives	Medium	Aero build rates plus defence content.	54.3x forward. Superb business, priced as one.
RHM GY	Rheinmetall	EU	Energetic Chemicals	17	Duopoly Chokepoint	71	HOLD	1175	EUR	-24.7	31.4	1631.04	38.8	both	High	Nitrocellulose vertical integration; Bundeswehr order flow.	Owns the energetics layer, down 25%, +39% to target — and is also the single most headline-sensitive stock in the theme. F126 proved German procurement can simply be cancelled.
7011 JP	Mitsubishi Heavy Industries	JP	Integration / Primes	17	Duopoly Chokepoint	69	HOLD	3737	JPY	-2.7	30.8	5404.75	44.6	both	Medium	First-ever export of Japan-built PAC-3 to the US completed 20 Nov 2025 (~10 units per Nikkei). Output ~30/yr with scope to double to ~60 once Boeing seekers clear. PAC-3 MSE and AMRAAM co-production under discussion.	A structural policy shift, not a war trade — which is exactly why it survives a peace deal. Expensive at 30.8x; size accordingly.
TDY US	Teledyne	US	Guidance, Seekers & RF	17	Duopoly Chokepoint	67	HOLD	670.56	USD	31.3	26.3	752.33	12.2	receives	Low	Sensor content in precision munitions.	Reasonably priced at 26.3x for the quality; a compounder, not a bottleneck trade.
COHR US	Coherent	US	Guidance, Seekers & RF	17	Duopoly Chokepoint	66	HOLD	288.14	USD	56.1	38.1	395.25	37.2	receives	Medium	AI optics plus defence sensing.	+37% consensus gap after a +56% YTD run, but the driver is datacentre optics, not munitions. Overlaps the AI Photonics book.
RBC US	RBC Bearings	US	Actuation, Power & Precision	17	Duopoly Chokepoint	63	HOLD	570.27	USD	27.2	37.4	656.5	15.1	receives	Low	Aero and defence build rates.	Quietly excellent, quietly expensive.
WWD US	Woodward	US	Actuation, Power & Precision	17	Duopoly Chokepoint	63	HOLD	363.57	USD	20.3	35.4	449.45	23.6	receives	Low	Aero and defence actuation demand.	+24% to target at 35.4x. Solid but not differentiated within this theme.
QRVO US	Qorvo	US	Guidance, Seekers & RF	17	Duopoly Chokepoint	61	HOLD	89.49	USD	5.9	11.4	93.09	4.0	receives	Medium	Defence RF mix shift.	11.4x is the cheapest multiple in the universe, but the rec is 3.10 and the defence slice is small against a handset-driven P&L.
3401 JP	Teijin	JP	Cases, Ablatives & Nozzles	17	Duopoly Chokepoint	56	HOLD	1625	JPY	19.9		1634	0.6	receives	Medium	Composite demand.	Consensus sees ~1% upside and the rec is 2.67 — the only genuinely negative sell-side stance in this universe.
000880 KS	Hanwha Corporation	KR	Energetic Chemicals	16	Duopoly Chokepoint	73	BUY	83800	KRW	2.3	12.6	166975	99.3	both	Medium	Holdco discount to a re-rating operating chain.	12.6x with a +99% consensus gap and 4.92 rec — but ⚠ STALE PRINT: unchanged at ₩83,800 with no volume on 4 Aug while the opco rallied 9%. Treat this mark as not fresh. The holdco route into the same energetics build-out, cheaper than the opco.
6503 JP	Mitsubishi Electric	JP	Guidance, Seekers & RF	16	Duopoly Chokepoint	68	HOLD	5540	JPY	20.8	20.9	7164.29	29.3	receives	Low	Japanese missile build-out.	20.9x with +29% to target and a 4.50 rec. Sane valuation, diluted defence exposure.
272210 KS	Hanwha Systems	KR	Guidance, Seekers & RF	16	Duopoly Chokepoint	68	HOLD	66300	KRW	21.9		112500	69.7	receives	High	Korean and export sensor demand.	+70% consensus gap, but corrected 64% from its peak — the widest gap between sell-side and tape in the Korean group.
KOG NO	Kongsberg Gruppen	EU	Integration / Primes	16	Duopoly Chokepoint	68	HOLD	302.9	NOK	41.8	30.5	392.36	29.5	spends	Medium	NSM/JSM export demand; US co-production with Raytheon.	Best operational momentum in Europe and +41% YTD to show for it. Excellent company, no discount.
BA/ LN	BAE Systems	EU	Integration / Primes	16	Duopoly Chokepoint	67	HOLD	2143	GBp	25.0	24.1	2341.56	9.3	spends	Low	UK and US munitions ramp.	Owns genuine energetics capacity, but it is 9% from target after a +25% year. Quality hold, not a fresh entry.
HO FP	Thales	EU	Guidance, Seekers & RF	16	Duopoly Chokepoint	66	HOLD	253.8	EUR	10.4		297	17.0	receives	Medium	European air defence.	The most reasonably valued of the large European electronics primes; still a spending-cycle bet, not a bottleneck.
GD US	General Dynamics	US	Integration / Primes	16	Duopoly Chokepoint	65	HOLD	382.43	USD	13.6	21.9	421.58	10.2	spends	Low	155mm ramp; submarine build.	The energetics exposure is genuine but buried. If you want the bottleneck you can buy it more directly elsewhere.
MTX GY	MTU Aero Engines	EU	Actuation, Power & Precision	16	Duopoly Chokepoint	63	HOLD	369.5	EUR	4.0	19.2	401	8.5	receives	Low	Military engine programmes.	Cheapest large European aero name at 19.2x, but this theme is not where its earnings come from.
RR/ LN	Rolls-Royce	EU	Integration / Primes	16	Duopoly Chokepoint	62	HOLD	1506.8	GBp	31.0	35.7	1638.39	8.7	receives	Medium	AUKUS and defence propulsion.	Superb turnaround, 35.7x, 9% to target. The re-rating already happened.
SGL GY	SGL Carbon	EU	Cases, Ablatives & Nozzles	16	Duopoly Chokepoint	56	HOLD	4.025	EUR	28.6		4.64	15.3	receives	High	European defence composite demand.	Small-cap optionality on European rearmament composites; weak balance sheet is the binding issue, not the thesis.
MRCY US	Mercury Systems	US	Guidance, Seekers & RF	16	Duopoly Chokepoint	51	AVOID	105.79	USD	44.9	76.2	104.33	-1.4	receives	High	Missile and radar processing content.	76.2x forward and now trading ABOVE consensus target after a +45% YTD run. The turnaround is more than priced.
OLN US	Olin (Winchester)	US	Energetic Chemicals	16	Duopoly Chokepoint	49	AVOID	18.62	USD	-10.6	37.4	22.79	22.4	receives	High	Ammunition demand; chlor-alkali cycle trough.	The ammo optionality is real but immaterial against a $2.1bn chlor-alkali cyclical. You are buying a chemicals cycle, not a bottleneck.
BA US	Boeing	US	Guidance, Seekers & RF	16	Duopoly Chokepoint	46	AVOID	233.49	USD	7.5	189.7	274.04	17.4	spends	High	Seeker capacity relief would unlock allied PAC-3 volumes.	Genuinely sits on a named bottleneck, but you cannot buy the seeker without buying all of Boeing at 190x. Wrong wrapper for the trade.
AM FP	Dassault Aviation	EU	Integration / Primes	15	Oligopoly with Moat	65	HOLD	304.8	EUR	11.3	17.7	380	24.7	spends	Medium	Export order flow.	17.7x with +25% upside — cheapest European prime, but platform-level and export-order dependent.
DRS US	Leonardo DRS	US	Guidance, Seekers & RF	15	Oligopoly with Moat	63	HOLD	45.81	USD	34.4	34.5	53.9	17.7	receives	Medium	Counter-UAS and naval power content.	Well-run and well-owned at 34.5x. Nothing left to discover.
KTOS US	Kratos Defense	US	Solid Rocket Motors	15	Oligopoly with Moat	61	HOLD	49.21	USD	-35.2	62.3	102.48	108.3	both	High	Record ~$2bn backlog; DoD funding for alternative SRM sources.	Raised guidance and fell 35%. A de-rating on valuation and cash burn, not on demand — but 62x still asks a lot before the motor business is proven at scale.
079550 KS	LIG Nex1	KR	Integration / Primes	15	Oligopoly with Moat	61	HOLD	780000	KRW	83.8	45.9	1096875	40.6	spends	High	Middle East and European air-defence exports.	The Korean missile pure-play, now +84% YTD at 45.9x after ripping ~14% on 4 Aug. The one Korean name that never de-rated — so the margin of safety sits elsewhere in the complex.
SAABB SS	Saab	EU	Integration / Primes	15	Oligopoly with Moat	61	HOLD	615.1	SEK	14.4	39.8	619.4	0.7	spends	Medium	Nordic and European rearmament.	39.8x for 0.7% upside and a 3.60 rec. Fully valued.
HAG GY	Hensoldt	EU	Guidance, Seekers & RF	15	Oligopoly with Moat	58	HOLD	86.34	EUR	17.6	48.8	89.72	3.9	receives	High	European air-defence sensor demand.	48.8x for 4% upside. The European sensor premium has fully arrived.
RKLB US	Rocket Lab	US	Solid Rocket Motors	15	Oligopoly with Moat	58	HOLD	70.43	USD	1.0		117	66.1	spends	High	Golden Dome space-layer sensors and interceptors ($17.5bn FY27, reconciliation-dependent).	+66% to target, but the Golden Dome funding it depends on is the single most conditional line in the FY27 request. Overlaps the SpaceX book.
003570 KS	SNT Dynamics	KR	Actuation, Power & Precision	14	Oligopoly with Moat	64	HOLD	31100	KRW	-32.8	10.8			receives	High	K2/K9 export pull-through.	10.8x with a unanimous 5.00 rec after a 33% drawdown. Cheapest thing in the book, thinnest liquidity — and the terminal no longer returns a consensus target.
THEON NA	Theon International	EU	Guidance, Seekers & RF	14	Oligopoly with Moat	62	HOLD	34	EUR	26.9		39.31	15.6	receives	Medium	European soldier-modernisation programmes.	Good growth and margins; a NATO-budget story rather than a supply-constraint story.
HII US	Huntington Ingalls	US	Integration / Primes	14	Oligopoly with Moat	59	HOLD	325.95	USD	-4.2	16.9	368.58	13.1	spends	Medium	Submarine industrial base funding.	Cheap at 17x and down on the year, but shipbuilding labour is a different bottleneck from the one this theme is about.
103140 KS	Poongsan	KR	Energetic Chemicals	14	Oligopoly with Moat	58	HOLD	69100	KRW	-35.5		113000	63.5	receives	High	None active — Hanwha halted its ~KRW1.5tn acquisition review of the ammunition business in April 2026.	Orphaned pure-play ammo asset at -37% YTD. Either the cheapest bottleneck asset in Asia or a value trap; the broken deal removed the obvious re-rating path.
EXA FP	Exail Technologies	EU	Guidance, Seekers & RF	14	Oligopoly with Moat	58	HOLD	124.9	EUR	53.3		138.13	10.6	receives	High	Navigation in GPS-denied environments.	+53% YTD with a 3.50 rec. Real technology, crowded entry.
DCO US	Ducommun	US	Actuation, Power & Precision	14	Oligopoly with Moat	52	AVOID	182.83	USD	92.2	40.7	181	-1.0	receives	High	Munitions build rates.	The best performer in the theme (+92% YTD) and now trading ABOVE consensus target with the weakest chokepoint score of the US components group. Do not chase.
7012 JP	Kawasaki Heavy	JP	Integration / Primes	13	Oligopoly with Moat	61	HOLD	2743	JPY	32.1	19.6	3895	42.0	spends	Medium	Japanese defence budget growth.	+42% to target but already +32% YTD, and platform assembly is the widest part of the chain, not the narrowest.
LDO IM	Leonardo	EU	Integration / Primes	13	Oligopoly with Moat	61	HOLD	54.71	EUR	11.3	19.8	68.6	25.4	spends	Medium	European defence budgets; MBDA stake.	Reasonable at 19.8x with +25% upside; the MBDA stake is the interesting asset and it is not consolidated.
QQ/ LN	QinetiQ	EU	Actuation, Power & Precision	13	Oligopoly with Moat	61	HOLD	522	GBp	18.2	15.8	548.82	5.1	receives	Medium	UK and US T&E demand.	15.8x is undemanding; services businesses do not hold chokepoints the way materials do.
047810 KS	Korea Aerospace Industries	KR	Integration / Primes	13	Oligopoly with Moat	60	HOLD	134700	KRW	17.9	31.6	184166.67	36.7	spends	Medium	Export campaigns.	31.6x for an assembler. The least chokepoint-like of the Korean names.
AVAV US	AeroVironment	US	Integration / Primes	13	Oligopoly with Moat	57	HOLD	159.18	USD	-34.2	48.9	226.42	42.2	both	High	Switchblade and counter-UAS demand.	-34% YTD with +42% to target, but 48.9x and a chokepoint score of 13 — attritable systems are designed to be cheap and second-sourceable.
042660 KS	Hanwha Ocean	KR	Integration / Primes	12	Oligopoly with Moat	68	HOLD	85300	KRW	-25.0	14.1	139600	63.7	both	High	US shipbuilding cooperation; MRO work.	14.1x with +64% upside after a 25% drawdown. A different bottleneck (yards and labour) than this theme, included for completeness.
064350 KS	Hyundai Rotem	KR	Integration / Primes	12	Oligopoly with Moat	66	HOLD	135400	KRW	-28.3	15.0	288250	112.9	spends	High	European and Middle East tank exports.	The largest consensus gap in the entire universe (+113%) at 15.0x — and the weakest chokepoint score (12/25). Cheap for a reason: platform assembly has alternatives.
APAM NA	Aperam	EU	Structural Metals & Forgings	12	Oligopoly with Moat	58	HOLD	46.42	EUR	31.7	14.0	51.79	11.6	receives	Medium	European industrial demand.	Cheap at 14.0x, but chokepoint 12/25 — this is a steel cyclical wearing a defence label.
